Common Name,Order,Family,Species Name,States
Mexican Long-tongued Bat,Chiroptera,Phyllostomidae,Choeronycteris mexicana,"Arizona, California, New Mexico, Texas"
Mexican Red Bellied Squirrel,Rodentia_other,Sciuridae,Sciurus nayaritensis,"Arizona, New Mexico"
Mexican Spiny Pocket Mouse,Rodentia,Heteromyidae,Liomys irroratus,Texas
Mexican Vole,Rodentia,Cricetidae,Microtus mogollonensis,"Arizona, Colorado, New Mexico, Utah"
Mexican Woodrat,Rodentia,Cricetidae,Neotoma mexicana,"Arizona, Colorado, New Mexico, Oklahoma, Texas, Utah"
Mohave Ground Squirrel,Rodentia_other,Sciuridae,Xerospermophilus mohavensis,California
Montane Vole,Rodentia,Cricetidae,Microtus montanus,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington, Wyoming"
Moose,Artiodactyla,Cervidae,Alces americanus,"Alaska, Idaho, Massachusetts, Maine, Michigan, Minnesota, Montana, North Dakota, New Hampshire, New York, Oregon, Utah, Vermont, Washington, Wisconsin, Wyoming"
Mountain Beaver,Rodentia,Aplodontiidae,Aplodontia rufa,"California, Nevada, Oregon, Washington"
Mountain Cottontail,Lagomorpha,Leporidae,Sylvilagus nuttallii,"Arizona, California, Colorado, Idaho, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Mountain Goat,Artiodactyla,Bovidae,Oreamnos americanus,"Alaska, Idaho, Montana, Washington"
"Mountain Lion, Puma, or Cougar",Carnivora,Felidae,Puma concolor,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Mountain Pocket Gopher,Rodentia,Geomyidae,Thomomys monticola,"California, Nevada"
Mt. Lyell Shrew,Eulipotyphla,Soricidae,Sorex lyelli,California
Mule Deer,Artiodactyla,Cervidae,Odocoileus hemionus,"Alaska, Arizona, California, Colorado, Idaho, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Muskox,Artiodactyla,Bovidae,Ovibos moschatus,Alaska
Narrow-faced Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys venustus,California
Nearctic Brown Lemming,Rodentia,Cricetidae,Lemmus trimucronatus,Alaska
Nearctic Collared Lemming,Rodentia,Cricetidae,Dicrostonyx groenlandicus,Alaska
Nelson's Antelope Squirrel,Rodentia_other,Sciuridae,Ammospermophilus nelsoni,California
Nelson's Collared Lemming,Rodentia,Cricetidae,Dicrostonyx nelsoni,Alaska
Nelson's Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus nelsoni,"New Mexico, Texas"
New England Cottontail,Lagomorpha,Leporidae,Sylvilagus transitionalis,"Connecticut, Massachusetts, Maine, New Hampshire, New York, Rhode Island, Vermont"
New Mexico Shrew,Eulipotyphla,Soricidae,Sorex neomexicanus,New Mexico
Nine-banded Armadillo,Cingulata,Dasypodidae,Dasypus novemcinctus,"Alabama, Arkansas, Colorado, Florida, Georgia,Illinois, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New Mexico, Oklahoma, South Carolina, Tennessee, Texas"
North American Deermouse,Rodentia,Cricetidae,Peromyscus maniculatus,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
North American Red Squirrel,Rodentia_other,Sciuridae,Tamiasciurus hudsonicus,"Alaska, Alabama, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
North American Water Vole,Rodentia,Cricetidae,Microtus richardsoni,"Idaho, Montana, Oregon, Utah, Washington, Wyoming"
North Atlantic Right Whale,Artiodactyla,Balaenidae,Eubalaena glacialis,"Alabama, Connecticut, Delaware, Florida, Georgia, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Rhode Island, South Carolina, Virginia"
North Pacific Right Whale,Artiodactyla,Balaenidae,Eubalaena japonica,Alaska
Northern Bog Lemming,Rodentia,Cricetidae,Synaptomys borealis,"Alaska, Idaho, Maine, Minnesota, Montana, New Hampshire, Vermont, Washington, Wisconsin"
Northern Bottlenose Whale,Artiodactyla,Delphinidae,Hyperoodon ampullatus,"Massachusetts, Maine, New Hampshire, Rhode Island"
Northern Elephant Seal,Carnivora,Phocidae,Mirounga angustirostris,"Alaska, California, Oregon, Washington"
Northern Flying Squirrel,Rodentia_other,Sciuridae,Glaucomys sabrinus,"Alaska, California, Connecticut, Idaho, Maine, Massachusetts, Michigan, Minnesota, Montana, Nevada, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
Northern Fur Seal,Carnivora,Otariidae,Callorhinus ursinus,"Alaska, California, Oregon, Washington"
Northern Grasshopper Mouse,Rodentia,Cricetidae,Onychomys leucogaster,"Arizona, California, Colorado, Iowa, Idaho, Kansas, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Northern Myotis,Chiroptera,Vespertilionidae,Myotis septentrionalis,"Alabama, Arkansas, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Northern Pocket Gopher,Rodentia,Geomyidae,Thomomys talpoides,"Arizona, California, Colorado, Idaho, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Northern Pygmy Mouse,Rodentia,Cricetidae,Baiomys taylori,"Arizona, Louisiana, New Mexico, Texas"
Northern Red-backed Vole,Rodentia,Cricetidae,Myodes rutilus,Alaska
Northern Right Whale Dolphin,Artiodactyla,Delphinidae,Lissodelphis borealis,"California, Oregon, Washington"
Northern River Otter,Carnivora,Mustelidae,Lontra canadensis,"Alaska, Alabama, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, Nevada, New York, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Northern Rock Deermouse,Rodentia,Cricetidae,Peromyscus nasutus,"Arizona, Colorado, New Mexico, Oklahoma, Texas, Utah, Wyoming"
Northern Short-tailed Shrew,Eulipotyphla,Soricidae,Blarina brevicauda,"Arkansas, Colorado, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia, Wyoming"
Northern Yellow Bat,Chiroptera,Vespertilionidae,Lasiurus intermedius,"Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, New Jersey, New York, South Carolina, Texas, Virginia"
Northwestern Deermouse,Rodentia,Cricetidae,Peromyscus keeni,"Alaska, Washington"
Nutria,Rodentia,Myocastoridae,Myocastor coypus,"Alabama, Arkansas, Delaware, Florida, Georgia, Louisiana, Maryland, Mississippi, Montana, North Carolina, Ohio, Oklahoma, Oregon, South Carolina, Tennessee, Texas, Virginia, Washington"
Ocelot,Carnivora,Felidae,Leopardus pardalis,"Arizona, Texas"
Oldfield Deermouse,Rodentia,Cricetidae,Peromyscus polionotus,"Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, Tennessee"
Olive-backed Pocket Mouse,Rodentia,Heteromyidae,Perognathus fasciatus,"Colorado, Montana, North Dakota, Nebraska, South Dakota, Utah, Wyoming"
Olympic Island Shrew,Eulipotyphla,Soricidae,Sorex rohweri,Washington
Olympic Marmot,Rodentia_other,Sciuridae,Marmota olympus,Washington
Ord's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys ordii,"Arizona, California, Colorado, Idaho, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Ornate Shrew,Eulipotyphla,Soricidae,Sorex ornatus,California
Pacific Jumping Mouse,Rodentia,Dipodidae,Zapus trinotatus,"California, Oregon, Washington"
Pacific Marten,Carnivora,Mustelidae,Martes caurina,"Alaska, California, Colorado, Idaho, Oregon, Utah, Washington, Wyoming"
Pacific Rat,Rodentia,Muridae,Rattus exulans,Hawaii
Pacific Shrew,Eulipotyphla,Soricidae,Sorex pacificus,"California, Oregon"
Pacific White-sided Dolphin,Artiodactyla,Delphinidae,Lagenorhynchus obliquidens,"Alaska, California, Oregon, Washington"
Pale Kangaroo Mouse,Rodentia,Heteromyidae,Microdipodops pallidus,"California, Nevada"
Palla's Mastiff Bat,Chiroptera,Molossidae,Molossus molossus,Florida
Pallid Bat,Chiroptera,Vespertilionidae,Antrozous pallidus,"Arizona, California, Colorado, Idaho, Kansas, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
Palmer's Chipmunk,Rodentia_other,Sciuridae,Tamias palmeri,Nevada
Panamint Chipmunk,Rodentia_other,Sciuridae,Tamias panamintinus,"California, Nevada"
Panamint Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys panamintinus,"California, Nevada"
Pantropical Spotted Dolphin,Artiodactyla,Delphinidae,Stenella attenuata,"Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, New Jersey, New York, North Carolina, Rhode Island, South Carolina, Texas, Virginia"
Peter's Ghost-faced Bat,Chiroptera,Mormoopidae,Mormoops megalophylla,"Arizona, New Mexico"
Piute Ground Squirrel,Rodentia_other,Sciuridae,Urocitellus mollis,"California, Idaho, Nevada, Oregon, Utah, Washington"
Piñon Deermouse,Rodentia,Cricetidae,Peromyscus truei,"Arizona, California, Colorado, Idaho, Kansas, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
Plains Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys montanus,"Arkansas, Arizona, Colorado, Kansas, Missouri, Montana, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming"
Plains Pocket Gopher,Rodentia,Geomyidae,Geomys bursarius,"Arkansas, Colorado, Iowa, Illinois, Indiana, Kansas, Minnesota, Missouri, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Wyoming"
Plains Pocket Mouse,Rodentia,Heteromyidae,Perognathus flavescens,"Arizona, Colorado, Iowa, Kansas, Minnesota, Missouri, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Pocketed Free-tailed Bat,Chiroptera,Molossidae,Nyctinomops femorosaccus,"Arizona, California, New Mexico, Nevada, Texas"
Polar Bear,Carnivora,Ursidae,Ursus maritimus,Alaska
Prairie Vole,Rodentia,Cricetidae,Microtus ochrogaster,"Alabama, Arkansas, Colorado, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Michigan, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Ohio, Oklahoma, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Preble's Shrew,Eulipotyphla,Soricidae,Sorex preblei,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Pribilof Island Shrew,Eulipotyphla,Soricidae,Sorex pribilofensis,Alaska
Pristine Moustached Bat,Chiroptera,Mormoopidae,Pteronotus pristinus,Florida
Pronghorn Antelope,Artiodactyla,Antilocapridae,Antilocapra americana,"Arizona, California, Colorado, Idaho, Kansas, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Pygmy Killer Whale,Artiodactyla,Delphinidae,Feresa attenuata,"Alabama, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, South Carolina, Texas"
Pygmy Rabbit,Lagomorpha,Leporidae,Brachylagus idahoensis,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Pygmy Shrew,Eulipotyphla,Soricidae,Sorex hoyi,"Alaska, Colorado, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, New Hampshire, New York, Ohio, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Pygmy Sperm Whale,Artiodactyla,Kogiidae,Kogia breviceps,"Alabama, California, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, New York, North Carolina, Texas, Virginia"
Raccoon,Carnivora,Procyonidae,Procyon lotor,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Rafinesque's Big-eared Bat,Chiroptera,Vespertilionidae,Corynorhinus rafinesquii,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Red Fox,Carnivora,Canidae,Vulpes vulpes,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Red Tree Vole,Rodentia,Cricetidae,Arborimus longicaudus,"California, Oregon"
Red Wolf,Carnivora,Canidae,Canis rufus,"Florida, Mississippi, North Carolina"
Red-tailed Chipmunk,Rodentia_other,Sciuridae,Tamias ruficaudus,"Idaho, Montana, Washington"
Ribbon Seal,Carnivora,Phocidae,Histrophoca fasciata,Alaska
Richardson's Ground Squirrel,Rodentia_other,Sciuridae,Urocitellus richardsonii,"Minnesota, Montana, North Dakota, South Dakota, Washington"
Ringed Seal,Carnivora,Phocidae,Phoca hispida,Alaska
Ringed Seal,Carnivora,Phocidae,Pusa hispida,Alaska
"Ringtail, Bassarisk, or Cacomistle",Carnivora,Procyonidae,Bassariscus astutus,"Arkansas, Arizona, California, Colorado, Idaho, Kansas, Louisiana, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Wyoming"
Risso's Dolphin,Artiodactyla,Delphinidae,Grampus griseus,"Alabama, Alaska, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Robust Cottontail,Lagomorpha,Leporidae,Sylvilagus robustus,"New Mexico, Texas"
Rock Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus intermedius,"Arizona, California, New Mexico, Texas, Utah"
Rock Squirrel,Rodentia_other,Sciuridae,Otospermophilus variegatus,"Arizona, California, Colorado, Kansas, New Mexico, Nevada, Oklahoma, Texas, Utah"
Rock Vole,Rodentia,Cricetidae,Microtus chrotorrhinus,"Kentucky, Massachusetts, Maryland, Maine, Minnesota, North Carolina, New Hampshire, New Jersey, New York, Pennsylvania, Tennessee, Virginia, Vermont, West Virginia"
Roof Rat,Rodentia,Muridae,Rattus rattus,"Alabama, Arkansas, Georgia, Hawaii, Massachusetts, Mississippi, North Carolina, New Hampshire, New Mexico, Nevada, New York, Oklahoma, Oregon, Texas, Virginia, Washington, West Virginia"
Root Vole,Rodentia,Cricetidae,Microtus oeconomus,Alaska
Rough-toothed Dolphin,Artiodactyla,Delphinidae,Steno bredanensis,"Alabama, California, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, South Carolina, Texas"
Round-tailed Ground Squirrel,Rodentia_other,Sciuridae,Xerospermophilus tereticaudus,"Arizona, California, Nevada"
Round-tailed Muskrat,Rodentia,Cricetidae,Neofiber alleni,"Florida, Georgia"
Sagebrush Vole,Rodentia,Cricetidae,Lemmiscus curtatus,"California, Colorado, Idaho, Montana, North Dakota, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Salt-marsh Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys raviventris,California
San Diego Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus fallax,California
San Joaquin Pocket Mouse,Rodentia,Heteromyidae,Perognathus inornatus,California
San Joaquin Valley Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys nitratoides,California
Saxicoline Deermouse,Rodentia,Cricetidae,Peromyscus gratus,New Mexico
Sea Otter,Carnivora,Mustelidae,Enhydra lutris,"Alaska, California, Washington"
Sei Whale,Artiodactyla,Balaenopteridae,Balaenoptera borealis,"Alabama, Alaska, California, Connecticut, Delaware, Florida, Georgia, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Seminole Bat,Chiroptera,Vespertilionidae,Lasiurus seminolus,"Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, New Jersey, New York, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia"
Short-beaked Common Dolphin,Artiodactyla,Delphinidae,Delphinus delphis,"California, Connecticut, Florida, Georgia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Short-finned Pilot Whale,Artiodactyla,Delphinidae,Globicephala macrorhynchus,"Alabama, Alaska, California, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, New Jersey, North Carolina, Oregon, South Carolina, Texas, Virginia, Washington"
Shrew Mole,Eulipotyphla,Talpidae,Neurotrichus gibbsii,"California, Oregon, Washington"
Silky Pocket Mouse,Rodentia,Heteromyidae,Perognathus flavus,"Arizona, Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Silver-haired Bat,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Singing Vole,Rodentia,Cricetidae,Microtus miurus,Alaska
Siskiyou Chipmunk,Rodentia_other,Sciuridae,Tamias siskiyou,"California, Oregon"
Rodent spp. ,Other,Other,Other other,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Smoky Shrew,Eulipotyphla,Soricidae,Sorex fumeus,
Snowshoe Hare,Lagomorpha,Leporidae,Lepus americanus,"Alaska, California, Colorado, Connecticut, Idaho, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Sonoma Chipmunk,Rodentia_other,Sciuridae,Tamias sonomae,California
Sonoma Tree Vole,Rodentia,Cricetidae,Arborimus pomo,California
Southeastern Myotis,Chiroptera,Vespertilionidae,Myotis austroriparius,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas"
Southeastern Pocket Gopher,Rodentia,Geomyidae,Geomys pinetis,"Alaska, Alabama, Florida, Georgia"
Southeastern Shrew,Eulipotyphla,Soricidae,Sorex longirostris,"Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Virginia, West Virginia"
Southern Bog Lemming,Rodentia,Cricetidae,Synaptomys cooperi,"Arkansas, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Southern Flying Squirrel,Rodentia_other,Sciuridae,Glaucomys volans,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, West Virginia, Wisconsin"
Southern Grasshopper Mouse,Rodentia,Cricetidae,Onychomys torridus,"Arizona, California, New Mexico, Nevada, Utah"
Southern Plains Woodrat,Rodentia,Cricetidae,Neotoma micropus,"Colorado, Kansas, New Mexico, Oklahoma, Texas"
Southern Pocket Gopher,Rodentia,Geomyidae,Thomomys umbrinus,"Arizona, New Mexico"
Southern Red-backed Vole,Rodentia,Cricetidae,Myodes gapperi,"Alaska, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Southern Yellow Bat,Chiroptera,Vespertilionidae,Lasiurus ega,"Arizona, California, New Mexico, Texas"
Southern short-tailed shrew,Eulipotyphla,Soricidae,Blarina carolinensis,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee, Texas, Virginia"
Southwestern Myotis,Chiroptera,Vespertilionidae,Myotis auriculus,"Arizona, New Mexico"
Sowerby's Beaked Whale,Artiodactyla,Ziphiidae,Mesoplodon bidens,"Maine, Massachusetts, New Hampshire"
Sperm Whale,Artiodactyla,Physeteridae,Physeter catodon,"Alabama, Alaska, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, Texas, Virginia, Washington"
Spinner Dolphin,Artiodactyla,Delphinidae,Stenella longirostris,"Alabama, Delaware, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, New Jersey, New York, North Carolina, South Carolina, Texas, Virginia"
Spiny Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus spinatus,"California, Nevada"
Spotted Bat,Chiroptera,Vespertilionidae,Euderma maculatum,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Texas, Utah, Washington, Wyoming"
Spotted Ground Squirrel,Rodentia_other,Sciuridae,Xerospermophilus spilosoma,"Arizona, Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Spotted Seal,Carnivora,Phocidae,Phoca largha,Alaska
St. Lawrence Island Shrew,Eulipotyphla,Soricidae,Sorex jacksoni,Alaska
Star-nosed Mole,Eulipotyphla,Talpidae,Condylura cristata,"Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, North Carolina, North Dakota, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Stejneger's Beaked Whale,Artiodactyla,Ziphiidae,Mesoplodon stejnegeri,"Alaska, California, Oregon, Washington"
Steller Sea Lion,Carnivora,Otariidae,Eumetopias jubatus,"Alaska, California, Oregon, Washington"
Stephen's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys stephensi,California
Stephen's Woodrat,Rodentia,Cricetidae,Neotoma stephensi,"Arizona, Colorado, New Mexico, Utah"
Striped Dolphin,Artiodactyla,Delphinidae,Stenella coeruleoalba,"Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Striped Skunk,Carnivora,Mephitidae,Mephitis mephitis,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
